,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
138,Naive,All,Tuning,,120,24,40
139,Naive,All,Tuning,,120,25,37
140,Naive,All,Tuning,,120,26,36
141,Naive,All,Tuning,,120,27,35
142,Naive,All,Tuning,,150,0,34
143,Naive,All,Tuning,,150,1,47
144,Naive,All,Tuning,,150,2,47
145,Naive,All,Tuning,,150,3,50
146,Naive,All,Tuning,,150,4,55
147,Naive,All,Tuning,,150,5,64
148,Naive,All,Tuning,,150,6,61
149,Naive,All,Tuning,,150,7,62
150,Naive,All,Tuning,,150,8,62
151,Naive,All,Tuning,,150,9,59
152,Naive,All,Tuning,,150,10,64
153,Naive,All,Tuning,,150,11,60
154,Naive,All,Tuning,,150,12,61
155,Naive,All,Tuning,,150,13,66
156,Naive,All,Tuning,,150,14,61
157,Naive,All,Tuning,,150,15,63
158,Naive,All,Tuning,,150,16,64
159,Naive,All,Tuning,,150,17,66
160,Naive,All,Tuning,,150,18,58
161,Naive,All,Tuning,,150,19,62
162,Naive,All,Tuning,,150,20,66
163,Naive,All,Tuning,,150,21,58
164,Naive,All,Tuning,,150,22,64
165,Naive,All,Tuning,,150,23,51
166,Naive,All,Tuning,,150,24,45
167,Naive,All,Tuning,,150,25,40
168,Naive,All,Tuning,,150,26,66
169,Naive,All,Tuning,,150,27,68
170,Naive,All,Tuning,,150,28,68
171,Naive,All,Tuning,,150,29,38
172,Naive,All,Tuning,,150,30,37
173,Naive,All,Tuning,,180,0,39
174,Naive,All,Tuning,,180,1,34
175,Naive,All,Tuning,,180,3,40
176,Naive,All,Tuning,,180,4,40
177,Naive,All,Tuning,,180,5,42
178,Naive,All,Tuning,,180,6,41
179,Naive,All,Tuning,,180,7,38
180,Naive,All,Tuning,,180,8,43
181,Naive,All,Tuning,,180,9,43
182,Naive,All,Tuning,,180,10,46
183,Naive,All,Tuning,,180,11,46
184,Naive,All,Tuning,,180,12,47
185,Naive,All,Tuning,,180,13,44
186,Naive,All,Tuning,,180,14,41
187,Naive,All,Tuning,,180,15,44
188,Naive,All,Tuning,,180,16,41
189,Naive,All,Tuning,,180,17,40
190,Naive,All,Tuning,,180,18,43
191,Naive,All,Tuning,,180,19,43
192,Naive,All,Tuning,,180,20,45
193,Naive,All,Tuning,,180,21,41
194,Naive,All,Tuning,,180,22,40
195,Naive,All,Tuning,,180,23,43
196,Naive,All,Tuning,,180,24,36
197,Naive,All,Tuning,,180,25,40
198,Naive,All,Tuning,,180,26,41
199,Naive,All,Tuning,,180,27,32
200,Naive,All,Tuning,,180,28,30
201,Naive,All,Tuning,,180,29,37
202,Naive,All,Tuning,,180,30,20
203,Naive,All,Tuning,,210,0,58
204,Naive,All,Tuning,,210,1,56
205,Naive,All,Tuning,,210,2,49
206,Naive,All,Tuning,,210,3,54
207,Naive,All,Tuning,,210,4,61
208,Naive,All,Tuning,,210,5,60
209,Naive,All,Tuning,,210,6,54
210,Naive,All,Tuning,,210,7,56
211,Naive,All,Tuning,,210,8,62
212,Naive,All,Tuning,,210,9,50
213,Naive,All,Tuning,,210,10,58
214,Naive,All,Tuning,,210,11,53
215,Naive,All,Tuning,,210,12,62
216,Naive,All,Tuning,,210,13,60
217,Naive,All,Tuning,,210,14,63
218,Naive,All,Tuning,,210,15,59
219,Naive,All,Tuning,,210,16,54
220,Naive,All,Tuning,,210,17,52
221,Naive,All,Tuning,,210,18,48
222,Naive,All,Tuning,,210,19,58
223,Naive,All,Tuning,,210,20,58
224,Naive,All,Tuning,,210,21,60
225,Naive,All,Tuning,,210,22,60
226,Naive,All,Tuning,,210,23,54
227,Naive,All,Tuning,,210,24,52
228,Naive,All,Tuning,,210,25,56
229,Naive,All,Tuning,,210,26,46
230,Naive,All,Tuning,,210,27,75
231,Naive,All,Tuning,,210,28,58
232,Naive,All,Tuning,,210,29,34
233,Naive,All,Tuning,,240,0,41
234,Naive,All,Tuning,,240,1,34
235,Naive,All,Tuning,,240,2,41
236,Naive,All,Tuning,,240,3,41
237,Naive,All,Tuning,,240,4,45
238,Naive,All,Tuning,,240,5,47
239,Naive,All,Tuning,,240,6,45
240,Naive,All,Tuning,,240,7,47
241,Naive,All,Tuning,,240,8,50
242,Naive,All,Tuning,,240,9,46
243,Naive,All,Tuning,,240,10,45
244,Naive,All,Tuning,,240,11,44
245,Naive,All,Tuning,,240,12,49
246,Naive,All,Tuning,,240,13,44
247,Naive,All,Tuning,,240,14,51
248,Naive,All,Tuning,,240,15,47
249,Naive,All,Tuning,,240,16,43
250,Naive,All,Tuning,,240,17,48
251,Naive,All,Tuning,,240,18,46
252,Naive,All,Tuning,,240,19,45
253,Naive,All,Tuning,,240,20,47
254,Naive,All,Tuning,,240,21,50
255,Naive,All,Tuning,,240,22,48
256,Naive,All,Tuning,,240,23,49
257,Naive,All,Tuning,,240,24,38
258,Naive,All,Tuning,,240,25,31
259,Naive,All,Tuning,,240,26,40
260,Naive,All,Tuning,,240,27,25
261,Naive,All,Tuning,,240,28,26
262,Naive,All,Tuning,,240,29,23
